id_transaccion,id_cliente,nombre_cliente,cuenta_origen,fecha,monto,divisa,tipo_transaccion,ciudad,cuenta_destino,categoria,hora_movimiento,concepto_movimiento,saldo_previo,saldo_posterior,canal_transaccion,medio_pago,estatus,fraude_probable
39,1779,Armando Raul Angulo,2.16967e+17,31/07/2025,211.52,MXN,Transferencia internacional,Guadalajara,1.02446e+17,Remesas,21:21:01,SWIFT a extranjero,22096.86,21885.34,Web,SWIFT,Completada,No
40,21626,Elvira Suarez,8.5976e+17,23/09/2025,1117.18,MXN,Retiro,Ciudad de Mexico,8.18473e+17,Consumo,20:41:24,Retiro en cajero,32272.92,31155.74,Sucursal bancaria,Efectivo,Completada,No
41,22544,Margarita Soliz Madera,5.64452e+17,05/06/2025,697.96,MXN,Transferencia,Monterrey,7.5612e+17,Servicios,10:02:41,Abono a tarjeta,9537.88,9537.88,App movil,SPEI,Pendiente,No
42,4493,Leonor Itzel Leyva,7.79245e+17,19/05/2025,522.87,MXN,Retiro,Guadalajara,2.62232e+17,Efectivo,23:21:29,Retiro en cajero,24522.75,23999.88,Cajero automatico,Efectivo,Completada,No
43,17343,Yuridia Salgado,4.1849e+17,11/07/2025,1430.74,MXN,Transferencia internacional,San Luis Potosi,7.03403e+17,Transferencia personal,02:41:31,Pago internacional,21537.5,20106.76,Web,Transferencia internacional,Completada,No
44,10495,Marisol Florencia Toledo,2.68477e+17,19/08/2025,254.8,MXN,Transferencia,Merida,9.58182e+17,Servicios,19:37:58,Transferencia a familiar,30427.85,30173.05,Sucursal bancaria,Transferencia bancaria,Completada,No
45,25501,Trinidad Beltran,1.86078e+16,24/07/2025,6386.06,MXN,Compra en linea,Aguascalientes,3.98024e+17,Consumo,20:49:23,Suscripcion streaming,45570.81,39184.75,Web,Tarjeta debito,Completada,No
46,20094,Camilo Jeronimo Orta,3.64863e+17,07/05/2025,427.0,MXN,Compra en linea,Cancun,7.78543e+17,Consumo,06:48:51,Suscripcion streaming,38534.79,38107.79,App movil,Tarjeta debito,Completada,No
47,21785,Paulina Ponce,8.11447e+17,06/08/2025,707.78,MXN,Pago de servicio,Cancun,8.01528e+17,Servicios,12:42:16,Pago internet,35563.43,34855.65,Domiciliacion,Tarjeta debito,Completada,No
48,13098,Espartaco Carrasco Pineda,4.77798e+17,21/07/2025,161.94,MXN,Compra en linea,Tuxtla Gutierrez,7.49851e+17,Consumo,20:11:39,Compra tienda online,64428.2,64266.26,Web,Pago movil,Completada,No
49,16618,Maria Fidel Barrera Espino,4.95129e+17,06/08/2025,600.22,MXN,Retiro,Ciudad Juarez,1.5606e+17,Consumo,18:35:51,Retiro por emergencia,26793.72,26193.5,Cajero automatico,Efectivo,Completada,No
50,10443,Serafin Gallegos,8.02932e+17,12/01/2025,1717.78,MXN,Pago de nomina,Toluca,7.01528e+17,Nomina,12:09:36,Nomina mensual,15937.44,17655.22,Sucursal bancaria,SPEI,Completada,No
51,9006,Joaquin Noelia Nino,3.9384e+17,28/06/2025,1096.45,MXN,Transferencia,Cancun,2.07895e+17,Transferencia personal,02:24:02,Transferencia a familiar,5878.53,4782.08,App movil,SPEI,Completada,No
52,8508,Miguel Timoteo Villa Carrero,2.09852e+17,01/03/2025,1781.32,MXN,Deposito,Cancun,2.09852e+17,Ingreso,19:26:07,Deposito por transferencia,33524.66,35305.98,Cajero automatico,Efectivo,Completada,No
53,22831,Veronica Mejia,1.01373e+17,09/11/2024,4160.52,MXN,Pago de servicio,Guadalajara,6.19946e+16,Servicios,12:36:51,Pago agua,10901.44,6740.92,Domiciliacion,Tarjeta credito,Completada,No
54,1121,Itzel Padron,2.6369e+17,06/01/2025,3899.29,MXN,Pago de servicio,Merida,7.00188e+16,Servicios,13:56:18,Pago agua,19202.89,15303.6,Web,Tarjeta debito,Completada,No
55,8749,Eugenio Quinones Ramirez,2.67887e+17,19/09/2025,467.49,MXN,Pago de nomina,San Luis Potosi,2.33675e+17,Nomina,10:33:47,Nomina mensual,29094.28,29561.77,App movil,Transferencia bancaria,Completada,No
56,8447,Sofia Alcala Candelaria,7.93078e+17,26/06/2025,1151.42,MXN,Compra en linea,Merida,1.72128e+16,Consumo,23:36:07,Compra tienda online,48528.57,47377.15,App movil,Pago movil,Completada,No
57,17337,Gabriel Giron,6.57994e+17,10/03/2025,166.59,MXN,Pago de servicio,Toluca,6.97945e+17,Servicios,20:13:03,Pago luz,29677.89,29511.3,Domiciliacion,SPEI,Completada,No
58,2084,Amador Camarillo,5.84462e+17,03/07/2025,641.07,MXN,Transferencia internacional,Leon,8.66806e+17,Transferencia personal,03:19:42,SWIFT a extranjero,39072.81,38431.74,Web,SWIFT,Completada,No
59,17103,Ines Garica,6.56191e+17,28/06/2025,1961.7,MXN,Pago de servicio,Oaxaca,4.47585e+17,Servicios,05:29:36,Pago luz,29508.87,27547.17,Web,Tarjeta credito,Completada,No
60,11584,Roberto Esteban Velazquez,1.5715e+17,24/10/2024,1560.97,MXN,Retiro,Chihuahua,7.53973e+17,Efectivo,00:02:40,Retiro en ventanilla,31236.07,29675.1,Cajero automatico,Efectivo,Completada,No
61,25077,Pablo Calvillo,9.02875e+17,29/08/2025,284.44,MXN,Deposito,Oaxaca,9.02875e+17,Ingreso,04:30:45,Deposito por cheque,30275.3,30559.74,Corresponsal,Deposito en ventanilla,Completada,No
62,25682,Tania Blanco,3.46197e+16,27/05/2025,27.61,MXN,Retiro,Queretaro,6.95571e+17,Efectivo,00:46:39,Retiro por emergencia,12141.67,12114.06,Sucursal bancaria,Efectivo,Completada,No
63,15883,Anel Alonso,5.7037e+16,27/09/2025,1213.55,MXN,Pago de servicio,Queretaro,4.185e+17,Servicios,07:30:34,Pago agua,3556.54,2342.99,Web,Tarjeta debito,Completada,No
64,18538,Gustavo de la Fuente,1.00092e+17,18/02/2025,1888.13,MXN,Retiro,Ciudad Juarez,2.83934e+17,Efectivo,12:20:04,Retiro en ventanilla,36817.96,34929.83,Sucursal bancaria,Efectivo,Completada,No
65,18764,Juan Carmen Salazar,5.01337e+17,09/06/2025,610.45,MXN,Pago de nomina,Oaxaca,6.04317e+17,Ingreso,07:08:18,Pago trabajador,42340.77,42951.22,Sucursal bancaria,SPEI,Completada,No
66,11950,Citlali Pichardo,8.48043e+17,14/05/2025,1627.72,MXN,Pago de nomina,Cancun,7.52142e+17,Ingreso,22:40:36,Nomina mensual,32430.06,34057.78,Sucursal bancaria,SPEI,Completada,No
67,21267,Josefina Liliana Frias,6.84681e+17,26/02/2025,167.54,MXN,Retiro,Toluca,5.06447e+17,Consumo,14:30:26,Retiro en cajero,8988.74,8821.2,Cajero automatico,Efectivo,Completada,No
68,9199,Modesto Gloria Nieves,2.5353e+17,26/08/2025,5438.46,MXN,Pago de nomina,Queretaro,8.62982e+17,Ingreso,23:34:15,Nomina mensual,10315.41,15753.87,Sucursal bancaria,Transferencia bancaria,Completada,No
69,20757,Zoe Ivan Tamayo,8.80276e+17,25/12/2024,3359.08,MXN,Deposito,Oaxaca,8.80276e+17,Ingreso,16:02:31,Abono nomina,25234.03,28593.11,Sucursal bancaria,Efectivo,Completada,No
70,6660,Rebeca Meza,2.17e+17,18/05/2025,1310.23,MXN,Transferencia internacional,Toluca,2.17272e+17,Transferencia personal,07:10:24,Envio remesas,51163.61,49853.38,Sucursal bancaria,Transferencia internacional,Completada,No
71,20057,Marisol Longoria,5.7157e+17,13/10/2025,345.82,MXN,Retiro,San Luis Potosi,7.63546e+16,Efectivo,12:50:22,Retiro por emergencia,5723.94,5378.12,Sucursal bancaria,Efectivo,Completada,No
72,19052,Socorro Velasco,1.08842e+17,26/10/2024,4251.62,MXN,Deposito,Queretaro,1.08842e+17,Ahorro,01:18:55,Abono nomina,33684.5,37936.12,Corresponsal,Efectivo,Completada,No
73,8989,Gonzalo Alfaro,7.0242e+17,15/06/2025,3715.26,MXN,Retiro,Hermosillo,3.63673e+17,Efectivo,22:36:02,Retiro por emergencia,33518.28,29803.02,Cajero automatico,Efectivo,Completada,No
74,5527,Miguel Pascual Granados,3.64904e+17,11/07/2025,4990.6,MXN,Deposito,Toluca,3.64904e+17,Ahorro,14:01:34,Abono nomina,23689.08,28679.68,Corresponsal,Efectivo,Completada,No
75,5799,Jaime Karla Cardona,6.64151e+17,18/11/2024,543.16,MXN,Compra en linea,Ciudad de Mexico,3.94525e+17,Consumo,12:08:15,Compra tienda online,16962.73,16419.57,App movil,Pago movil,Completada,No
76,16136,Roberto Romero,8.35769e+17,27/10/2024,298.58,MXN,Transferencia,Aguascalientes,9.98861e+17,Transferencia personal,10:39:21,Pago a tercero,40415.18,40116.6,Web,Transferencia bancaria,Completada,No
77,2538,Andres Diana Quinones,9.48377e+17,14/10/2025,4146.94,MXN,Compra en linea,Veracruz,2.3296e+17,Consumo,20:42:18,Compra Amazon,9090.57,4943.63,App movil,Pago movil,Completada,No
78,16309,Elvia Frias,6.13109e+17,22/04/2025,1451.8,MXN,Transferencia,Tijuana,5.68233e+17,Transferencia personal,06:28:31,Transferencia a familiar,27767.05,27767.05,App movil,Transferencia bancaria,Rechazada,No
79,12470,Jose Manuel Estela Mondragon Sisneros,5.05217e+17,25/08/2025,246.38,MXN,Deposito,Monterrey,5.05217e+17,Ahorro,12:41:34,Abono nomina,31440.17,31686.55,Sucursal bancaria,Cheque,Completada,No
80,10804,Gerardo Ceja,9.11359e+17,19/05/2025,1811.11,MXN,Transferencia internacional,Tijuana,1.33829e+17,Remesas,20:41:36,SWIFT a extranjero,35094.12,33283.01,Sucursal bancaria,Transferencia internacional,Completada,No
81,2900,Alicia Carla Lebron,6.00011e+17,23/02/2025,688.24,MXN,Pago de nomina,Aguascalientes,7.21144e+17,Nomina,01:28:48,Nomina mensual,34270.63,34958.87,App movil,SPEI,Completada,No
82,3406,Mario Eugenia Sevilla,7.48698e+17,21/05/2025,3046.93,MXN,Pago de nomina,Merida,9.32347e+17,Nomina,23:49:52,Nomina quincenal,34248.15,37295.08,Sucursal bancaria,Transferencia bancaria,Completada,No
83,11236,Minerva Ocasio Bermudez,1.39761e+17,28/03/2025,1094.14,MXN,Retiro,Merida,4.97563e+17,Efectivo,02:43:39,Retiro en ventanilla,35276.03,34181.89,Sucursal bancaria,Efectivo,Completada,No
84,17236,Gilberto Gracia,5.63858e+17,28/01/2025,105351.6,MXN,Transferencia,Tuxtla Gutierrez,2.14637e+17,Servicios,02:35:47,Pago a tercero,45440.18,-59911.42,Sucursal bancaria,SPEI,Completada,Si
85,14888,Gabriel Vicente Archuleta de la O,4.11592e+17,26/09/2025,3330.99,MXN,Deposito,Toluca,4.11592e+17,Ahorro,21:37:01,Deposito por cheque,11089.15,14420.14,Cajero automatico,Efectivo,Completada,No
86,25049,Miguel Cecilia Jaramillo,2.8373e+17,18/07/2025,1315.12,MXN,Pago de servicio,San Luis Potosi,3.14924e+17,Servicios,00:12:51,Pago agua,20737.27,19422.15,App movil,Domiciliacion,Completada,No
87,3419,Elena Roldan,1.65765e+17,21/04/2025,959.91,MXN,Pago de servicio,Toluca,5.3666e+17,Servicios,01:17:15,Pago agua,37352.68,36392.77,Domiciliacion,Domiciliacion,Completada,No
88,9319,Abel Madrid Torres,6.56676e+17,13/05/2025,66.46,MXN,Transferencia,Merida,2.35612e+16,Transferencia personal,07:04:07,Pago a tercero,4028.89,3962.43,Sucursal bancaria,SPEI,Completada,No
89,2261,Cesar Cardona,4.92663e+17,28/06/2025,2614.03,MXN,Transferencia,Cancun,9.96867e+17,Transferencia personal,23:21:12,Pago a tercero,26157.04,23543.01,Sucursal bancaria,Transferencia bancaria,Completada,No
90,11901,Silvia Gerardo Valladares,7.17832e+17,21/03/2025,2224.47,MXN,Pago de nomina,Chihuahua,6.8542e+16,Nomina,01:24:41,Nomina mensual,5600.59,7825.06,App movil,Transferencia bancaria,Completada,No
91,9580,Alfonso Jose Emilio Olivas Rocha,9.26847e+16,30/01/2025,1482.83,MXN,Pago de nomina,Leon,7.35616e+17,Ingreso,14:41:49,Nomina quincenal,25820.29,27303.12,App movil,SPEI,Completada,No
92,17714,Zeferino Badillo,1.47134e+17,25/09/2025,1186.87,MXN,Transferencia internacional,San Luis Potosi,1.5539e+17,Transferencia personal,11:36:36,Envio remesas,13271.19,12084.32,Web,SWIFT,Completada,No
93,24435,Luis Manuel Guerrero Cantu,7004590000000000.0,10/04/2025,1962.44,MXN,Transferencia internacional,Tuxtla Gutierrez,4.9023e+17,Remesas,02:13:15,Envio remesas,11452.57,11452.57,Sucursal bancaria,SWIFT,Pendiente,No
94,15555,Horacio Hernan Manzanares Urbina,4.53877e+17,10/12/2024,2398.48,MXN,Deposito,Veracruz,4.53877e+17,Ahorro,12:13:28,Abono nomina,28356.18,30754.66,Sucursal bancaria,Efectivo,Completada,No
95,9672,Marcos Aponte,2.51841e+17,25/06/2025,886.98,MXN,Transferencia internacional,Chihuahua,2.18926e+16,Transferencia personal,00:11:54,Pago internacional,34089.77,33202.79,Sucursal bancaria,SWIFT,Completada,No
96,13987,Irene Isabela Cisneros,9.74436e+17,14/12/2024,808.79,MXN,Transferencia,Hermosillo,3.08704e+17,Transferencia personal,00:20:56,Transferencia a familiar,40583.59,39774.8,Sucursal bancaria,SPEI,Completada,No
97,25977,Julio Lucia Guzman,1.54029e+17,17/12/2024,275.18,MXN,Retiro,Cancun,1.87808e+17,Efectivo,13:25:38,Retiro en cajero,56778.18,56503.0,Cajero automatico,Efectivo,Completada,No
98,6328,Diana Santacruz,3.03423e+17,12/05/2025,1639.09,MXN,Deposito,Ciudad de Mexico,3.03423e+17,Ahorro,20:10:48,Deposito por transferencia,32289.67,33928.76,Cajero automatico,Deposito en ventanilla,Completada,No
99,2709,Virginia Marcos de la Fuente,9.94541e+17,18/08/2025,4667.16,MXN,Transferencia,Monterrey,5.89793e+17,Servicios,18:39:32,Transferencia a familiar,63198.81,58531.65,App movil,Transferencia bancaria,Completada,No
100,24255,Rufino Solorio,8.76998e+17,01/09/2025,836.06,MXN,Deposito,Oaxaca,8.76998e+17,Ingreso,01:48:49,Deposito en efectivo,43584.37,44420.43,Cajero automatico,Cheque,Completada,No
101,3105,Rosa Bernabe Mejia Corrales,7.26439e+17,20/03/2025,680.02,MXN,Pago de servicio,Tijuana,2.72657e+17,Servicios,17:23:18,Pago agua,32988.75,32308.73,App movil,Tarjeta credito,Completada,No
102,14125,Abelardo Garica,3.87714e+17,17/12/2024,984.18,MXN,Transferencia,Queretaro,8.11051e+17,Servicios,12:54:54,Abono a tarjeta,38943.41,37959.23,Web,Transferencia bancaria,Completada,No
103,10383,Sergio Emilia Irizarry Centeno,3.03362e+17,13/09/2025,1034.78,MXN,Retiro,Guadalajara,4.01299e+17,Consumo,19:55:21,Retiro en ventanilla,20453.77,19418.99,Cajero automatico,Efectivo,Completada,No
104,24594,Rafael Gabriela Solano Jaimes,3.35182e+17,17/12/2024,782.5,MXN,Compra en linea,Monterrey,1.73799e+17,Consumo,16:47:42,Compra Mercado Libre,2539.9,1757.4,App movil,Tarjeta credito,Completada,No
105,3388,Jose Luis Hernandez,9.1716e+17,21/09/2025,1532.17,MXN,Compra en linea,Aguascalientes,2.6394e+17,Consumo,14:14:13,Compra tienda online,50942.92,49410.75,Web,Tarjeta credito,Completada,No
106,12703,Mateo Rosas,5.69343e+17,15/04/2025,1069.16,MXN,Pago de servicio,Morelia,2.35217e+16,Servicios,13:38:15,Pago luz,845.52,-223.64,App movil,SPEI,Completada,No
107,8501,Adriana Navarro Coronado,8.9411e+17,06/03/2025,1632.46,MXN,Deposito,Cancun,8.9411e+17,Ingreso,19:19:49,Deposito en efectivo,28583.07,30215.53,Sucursal bancaria,Efectivo,Completada,No
108,3321,Antonio Haro,6.32587e+16,05/10/2025,60.3,MXN,Transferencia,Merida,9.45117e+17,Transferencia personal,09:06:02,Pago a tercero,14196.1,14135.8,Web,SPEI,Completada,No
109,18664,Emiliano Eloy Ontiveros,5.85232e+17,27/02/2025,4245.88,MXN,Pago de servicio,Toluca,1.39723e+17,Servicios,17:18:46,Pago agua,53548.3,49302.42,Domiciliacion,SPEI,Completada,No
110,1938,Timoteo Ruiz,8.95326e+17,22/10/2025,939.43,MXN,Deposito,Ciudad Juarez,8.95326e+17,Ingreso,16:00:36,Deposito en efectivo,2719.32,3658.75,Sucursal bancaria,Cheque,Completada,No
111,3603,Reynaldo Citlali Quintanilla,9.20056e+16,30/07/2025,110630.59,MXN,Transferencia,Tijuana,6.56463e+17,Servicios,03:01:45,Abono a tarjeta,30057.85,-80572.74,App movil,SPEI,Completada,Si
112,17656,Nancy Partida Guajardo,4.7691e+17,26/06/2025,130.77,MXN,Pago de nomina,Aguascalientes,3.40023e+16,Ingreso,22:41:59,Pago trabajador,13791.41,13922.18,Sucursal bancaria,SPEI,Completada,No
113,24886,Carlota Segura,9.58182e+17,07/09/2025,2815.29,MXN,Pago de servicio,Puebla,7.03372e+17,Servicios,13:05:17,Pago internet,14391.43,11576.14,App movil,SPEI,Completada,No
114,8937,Soledad Rosario Holguin,3.01825e+17,09/06/2025,208.63,MXN,Retiro,Toluca,4.59399e+17,Efectivo,12:15:15,Retiro por emergencia,40292.84,40084.21,Cajero automatico,Efectivo,Completada,No
115,23016,Esther Amador Alcala,9.94631e+17,16/04/2025,1507.1,MXN,Deposito,Leon,9.94631e+17,Ahorro,06:52:07,Deposito por transferencia,39631.52,41138.62,Corresponsal,Efectivo,Completada,No
116,16650,Carmen Juan Zedillo Osorio,6.70286e+17,08/12/2024,517.0,MXN,Transferencia,Aguascalientes,9.46064e+17,Transferencia personal,20:44:20,Transferencia a familiar,36333.32,35816.32,App movil,Transferencia bancaria,Completada,No
117,13680,Irma Ramirez,6.28666e+17,19/03/2025,2103.13,MXN,Pago de nomina,Tijuana,7.31814e+17,Ingreso,03:17:03,Nomina mensual,24623.77,26726.9,Sucursal bancaria,SPEI,Completada,No
118,9835,Julio Bernabe Carrion Gurule,9.45733e+17,29/08/2025,717.87,MXN,Pago de nomina,Toluca,1.56954e+17,Ingreso,14:58:40,Nomina mensual,27111.89,27829.76,Sucursal bancaria,SPEI,Completada,No
119,10693,Rodrigo Pineda Sauceda,9.73541e+17,02/12/2024,645.1,MXN,Transferencia,Ciudad Juarez,9.54497e+17,Servicios,09:34:30,Pago a tercero,21081.74,20436.64,Web,Transferencia bancaria,Completada,No
120,8333,Carmen Joaquin Apodaca,5.61477e+17,01/09/2025,2104.68,MXN,Deposito,Queretaro,5.61477e+17,Ahorro,11:59:34,Deposito en efectivo,44777.98,46882.66,Cajero automatico,Cheque,Completada,No
121,15884,Abraham Cornejo Cintron,5734760000000000.0,26/09/2025,183.26,MXN,Deposito,Cancun,5734760000000000.0,Ingreso,14:50:33,Deposito por transferencia,48498.62,48681.88,Sucursal bancaria,Deposito en ventanilla,Completada,No
122,14544,Gabriel Luz Arteaga Murillo,6.64562e+17,02/03/2025,598.6,MXN,Transferencia internacional,Cancun,3.64863e+17,Remesas,07:28:23,SWIFT a extranjero,25378.07,24779.47,Web,Transferencia internacional,Completada,No
